Period,Team,Manager,SentimentScore,Response,KeyPhrases
2019-Q1,Team 2,Mgr 1,0.98,"Collaborative team.  Open to new ideas and processes.  Great Attitude.  Caring, Team wants to be valuable to Acme Corp. Willing to improve.","collaborative team, new ideas, processes, acme, willing, great attitude"
2019-Q1,Team 6,Mgr 2,0.15,confident in the progress we are making. Still work to be done. Significant improvements,"progress, significant improvements"
2018-Q3,Team 8,Mgr 3,0.5,Continue to push and implement agile. Collaborate and pair more.,pair
2018-Q3,Team 5,Mgr 2,0.26,"Current health is Yellow. Concerned that our processes are ""Green"" feel like people ""give up"" on supplying real sentiment in team health because nothing happens with it. Pressure will get worse and health is likely to continue to decline.","team health, current health, real sentiment, pressure, people, processes"
2019-Q2,Team 8,Mgr 3,0.24,"Definitely room for improvement, but I don’t see major issues. All team members are happy and make great team mates. Need to improve cross training and onboard a new team member once the position is filled. Lots of great opportunities on the horizon.","team members, great team mates, new team member, great opportunities, cross training, position, improvement, horizon, major issues, room"
2019-Q2,Team 7,Mgr 3,0.16,"Despite all of our challenges, the team is still doing good work. We are able to work within or constraints, but shouldn’t have to fight our own organization.","good work, team, constraints, challenges, organization"
2019-Q1,Team 2,Mgr 1,0.98,Efficient and collaborative.  Excited to work together.  Quick to jump in.,collaborative
2019-Q1,Team 4,Mgr 1,0.99,Everything is pretty good.,""
2019-Q1,Team 7,Mgr 3,0.92,Excellent - we work well together and gel as a team,"gel, team"
2018-Q3,Team 1,Mgr 1,0.94,"Feel fairly good about team health given the unusual demands, timelines, and processes related to ProjectX.  Excited to see how scale IT could help get analytics involved up front in projects, and to see how it could help better groom the work for the team.","team health, unusual demands, timelines, processes, better groom, work, scale, analytics, projectx, projects"
2019-Q1,Team 9,Mgr 3,0.16,From the last Health Team has improved in all departments.  Would like to have leadership attend.,"health team, departments, leadership attend"
2018-Q3,Team 7,Mgr 3,0.88,Generally good. We have direction on some issues and I have a good feeling about the future direction.,"good feeling, future direction, issues"
2018-Q3,Team 1,Mgr 1,0.11,Generally I feel yellow about team health.  Our team is so big that it is difficult to proceed agile too.,team health
2019-Q2,Team 8,Mgr 3,0.95,Good and Getting improved.,""
2018-Q3,Team 4,Mgr 1,0.89,Good and need improvement in some areas.,"improvement, areas"
2018-Q3,Team 7,Mgr 3,0.99,Good dialogue. How honest is the scale? Going in right direction.,"good dialogue, scale, right direction"
2019-Q1,Team 4,Mgr 1,0.77,good health. Seems to be trending in positive direction,"good health, positive direction"
2019-Q1,Team 5,Mgr 2,0.2,good overall. Feels like we talk about the same things repeatedly and often beat ideas to death,"ideas, things, death"
2019-Q2,Team 1,Mgr 1,0.85,Good overall. Happy with the team. I still find it silly that InfoSec is in Operations.,"operations, infosec, team"
2018-Q3,Team 1,Mgr 1,0.98,Good team.  Ned to do some process maturation.  Hopefully sometime we can actually do insightful or analytical as our team name implies rather than replication & remediation and refactoring.,"good team, replication, ned, process maturation, remediation, refactoring"
2019-Q2,Team 8,Mgr 3,0.87,Good understanding between team members. Always support each other. No pressure form team lead or PO.,"team members, pressure form team lead, po, good understanding"
2019-Q2,Team 1,Mgr 1,0.97,Good.,""
2018-Q4,Team 8,Mgr 3,0.97,Good. A lot of good understanding and camaraderie which makes the team click.,"lot of good understanding, camaraderie, team"
2018-Q3,Team 7,Mgr 3,0.98,"Great overall health, realistic view of team health (even where we are not green we're in agreement) good team that does good work that is valuable.","good team, realistic view of team health, good work, great overall health, agreement"
2018-Q3,Team 1,Mgr 1,0.81,Great team and people.  But negatively impacted by areas outside our team.,"great team, people, areas"
2019-Q2,Team 4,Mgr 1,0.09,Great team to work with and any issues already have plans in place to fix.,"issues, plans, place, great team"
2019-Q1,Team 2,Mgr 1,0.86,"Great team work, lots of fun, joking, makes work bearable.  Options for learning.","work bearable, great team work, fun, options, learning"
2018-Q3,Team 8,Mgr 3,0.95,Great way to address the health for team. Would be glad to know the outcome.,"health, great way, team, outcome"
2019-Q1,Team 8,Mgr 3,0.89,"Great, teammates are all working together.",teammates
2019-Q2,Team 3,Mgr 1,0.97,"Green! I love seeing how much we're on the same page. We have a strong, empowered, cross-functional team and we all share a common vision. I'm looking forward to the future!","cross-functional team, common vision, page, future"
2019-Q1,Team 8,Mgr 3,0.98,Happy to be a part of this team.,team
2019-Q1,Team 1,Mgr 1,0.83,happy with team's overall health and good dynamics. Contrast between this team and the rest of the org is stark.,"team's overall health, good dynamics, rest, org, contrast"
2018-Q3,Team 5,Mgr 2,0.11,Health continues to trend upwards.  Delivery speed too slow.,"delivery speed, health"
2018-Q3,Team 3,Mgr 1,0.89,Health is encouraging and team feels positive in a lot of areas.,"team, lot of areas, health"
2018-Q3,Team 8,Mgr 3,0.5,Helps to improve Tema Health. Forum to ven out the feelings and emotions.,"feelings, tema health, forum, emotions"
2018-Q3,Team 4,Mgr 1,0.91,High performance team. Team with a lot of potential. Need to keep up the motivation within group.,"high performance team, lot of potential, motivation, group"
2018-Q4,Team 6,Mgr 2,0.79,I always come away from these meetings feeling encouraged by the team’s candor and regard for one another. Our core obstacles are support from partner teams and clarity of direction for the application. I’m hopeful that leadership will help us to overcome those hurdles.,"partner teams, clarity of direction, team’s candor, core obstacles, meetings, regard, application, leadership, hurdles"
2019-Q1,Team 7,Mgr 3,0.97,"I am always happy to work on such a trusting, happy, and fun team","trusting, fun team"
2018-Q3,Team 4,Mgr 1,0.85,"I am definitely feeling good about our team health. We didn't see a single red this time around, which is a good indication. A lot of the concerns raised were about disconnects between our innerworkings and the business understanding of how work should be done. Many of the yellows seem like they will be somewhat addressed through planning across teams / story mappy sessions.","good indication, planning, teams, story mappy sessions, business understanding, time, single red, innerworkings, team health, lot, concerns, yellows"
2019-Q1,Team 5,Mgr 2,0.05,I am really proud of my team and would feel comfortable leaving it if I had to knowing they'd be A-OK. (I don't want to leave),team
2018-Q4,Team 6,Mgr 2,0.76,"I believe our team health is strong, and will continue to be strong even with having some staffing obstacles ahead. I have no worries for this team's health.","team's health, team health, staffing obstacles, worries"
2019-Q2,Team 2,Mgr 1,0.08,I believe that we are moving in the wrong direction.  Things are not great and there is room for improvement in nearly every area.,"room, improvement, area, wrong direction, things"
2019-Q2,Team 3,Mgr 1,0.96,I believe this is the healthiest team I have ever been a part of. We have found the process in which we work best. We all enjoy working with each other. I believe the reorg has been a success with this team.,"healthiest team, success, reorg, process"
2018-Q3,Team 9,Mgr 3,0.78,"I believe we have a great team that provides a lot of value to the organization.  Most of our pain points are external driven, not internal.","lot of value, pain points, great team, organization"
2018-Q4,Team 6,Mgr 2,0.22,I feel as an internal team we have a good team health. We work together and support one another. When it comes to support from other teams the team health lacks.,"good team health, internal team, team health lacks, support, teams"
2019-Q2,Team 7,Mgr 3,0.86,"I feel good about my team health, but see a lot of opportunity for improvement","lot of opportunity, team health, improvement"
2019-Q2,Team 1,Mgr 1,0.94,I feel good about our team health and the discussion was very helpful in understanding our way ahead.,"team health, discussion, way"
2019-Q1,Team 5,Mgr 2,0.5,I feel good about our team health.  Operations and deployments have room for automation.  Stakeholder relationships are a big factor in team health.  Three week sprints enable higher quality.,"team health, big factor, stakeholder relationships, operations, deployments, room, automation, week sprints, higher quality"
2019-Q1,Team 6,Mgr 2,0.8,"I feel good about overall health of the team, except some external things which impact the products, such as ProjectX","team, products, external things, overall health, projectx"
2018-Q3,Team 1,Mgr 1,0.81,"I feel good overall, but will be curious of trending after ProjectX phase 1 and as our team is no longer so new.","projectx phase, curious of trending, team"
2018-Q3,Team 1,Mgr 1,0.23,I feel good.  ProjectX kind of stinks right now but that is to be expected.  The future looks more green than the current.,"projectx kind of stinks, future"
2018-Q3,Team 4,Mgr 1,0.85,I feel great about our team health!,team health
2019-Q1,Team 5,Mgr 2,0.9,"I feel great about the team, our collaboration, and the future","collaboration, team, future"
2019-Q2,Team 6,Mgr 2,0.9,I feel great about where we are. The team is strong as I've seen it. the team is a lot of fun to work with and gets their stuff done!,"team, lot of fun, stuff"
2019-Q2,Team 6,Mgr 2,0.83,I feel I work with a great group that shows up everyday with a can do mentality. We all have the same goals and work together to achieve them.,"work, great group, goals, mentality"
2018-Q4,Team 2,Mgr 1,0.21,"I feel like our team health is doing well. Even if there are issues/problems, the team is always willing to bring them up and discuss them. It doesn't matter if they are difficult questions or whatever the entire team is focussed on both their and the team's well being.","entire team, team health, problems, difficult questions, issues, team's"
2019-Q2,Team 4,Mgr 1,0.85,I feel like the team health of the Service Desk Leadership Team is very good.  We have a high level of trust between the people in the group and are sensitive to each other needs as far as the daily work goes.  We definitely have fun together also,"team health, service desk leadership team, people, high level of trust, group, daily work, fun"
2019-Q2,Team 5,Mgr 2,0.79,I feel like the team is doing good overall.  We have some areas that we need to focus on after adding additional head count.  The team will continue to get better the more time we spend together. ,"team, additional head count, areas, time"
2019-Q2,Team 1,Mgr 1,0.09,I feel like the team is getting better at working together.,team
2018-Q4,Team 1,Mgr 1,0.18,I feel like there are clearly defined improvements that need to be addresses but overall the team is in good standing.,"team, good standing, defined improvements"
2019-Q1,Team 6,Mgr 2,0.18,"I feel like we're fairly healthy, there is lots of room for improvement however we have a good direction forward. A lot of the pains and yellows we fell have to do with the changing team structure /PO's","improvement, changing team structure, po's, room, lot, pains, yellows, good direction"
2018-Q3,Team 2,Mgr 1,0.8,"I feel our team health is good, but there are definitely things we can improve.","team health, things"
2019-Q1,Team 6,Mgr 2,0.12,I feel our team health is really good. Outside the team is needing work.,"team health, work"
2018-Q4,Team 8,Mgr 3,0.5,"I feel our team is doing very wel adopting agile principles, adapting in face of big changes in our business, and growing scaling to new demands.","business, growing scaling, face of big changes, agile principles, new demands, wel, team"
2019-Q2,Team 3,Mgr 1,0.81,I feel our team is in a great position with team health. As a team we are open and discuss issues as soon as they arise.,"team health, great position, issues"
2018-Q3,Team 2,Mgr 1,0.93,I feel our team is really growing in a positive way. We have added many team members and adopted new agile practices. I see us continuing to grow and evolve in a positive way. ,"positive way, team members, new agile practices"
2018-Q3,Team 4,Mgr 1,0.1,"I feel our team is strong and is very healthy. I feel the areas that we have identified as opportunities are likely systemic across all teams. Despite having good scores across most of the board, I feel we were somewhat harsh on ourselves and the team.","opportunities, teams, good scores, board, areas"
2018-Q4,Team 8,Mgr 3,0.9,I feel positive about our team after the session. We are in green on most of the dimensions which is a good sign.,"dimensions, team, session, good sign, green"
2018-Q3,Team 2,Mgr 1,0.94,"I feel positive about our team health. We support each other well, we gel well and follow agile principles rigorously. We are the beacon of light for other teams.","beacon of light, team health, teams, agile principles"
2019-Q2,Team 8,Mgr 3,0.9,I feel positive and excited about the direction of the team.,"direction, team"
2018-Q4,Team 7,Mgr 3,0.19,I feel really good about where the team is at. Difficulties almost all seems to be outside the team's control.,"team's control, difficulties"
2018-Q4,Team 3,Mgr 1,0.79,I feel that our team health is in good shape overall.  I think we are mostly unified and strong performers.,"team health, good shape, strong performers"
2019-Q1,Team 3,Mgr 1,0.19,I feel that our team health is strong overall.,team health
2018-Q3,Team 5,Mgr 2,0.84,I feel that our team is very healthy and we interact in a comfortable healthy way. I also fee that our ceremonies are becoming stale and formulaic.,"comfortable healthy way, ceremonies, team"
2018-Q4,Team 5,Mgr 2,0.75,"I feel that our team overall healthy.  However, if there are not issues addressed it could break down the pliability of the team.  We have many areas to improve and lots of room for growth as a team.","team, room, growth, areas, pliability"
2018-Q3,Team 2,Mgr 1,0.83,I feel that the results are aligned to how we have executing and easily adaopting to change. We have good morale - we enjoy what we are doing and we enjoy working together.,"good morale, results"
2018-Q4,Team 9,Mgr 3,0.83,I feel that the team is very mature. We work very closely together and consider each team members as friends. Which allows us to be high performing team in every aspect.,"team members, high performing team, aspect, friends"
2018-Q4,Team 4,Mgr 1,0.79,I feel that the team's maturity around identifying opportunities for improvement is high. And the acceptance to constructive criticism is helping them excel to a high performance team.,"high performance team, improvement, opportunities, team's maturity, acceptance, constructive criticism"
2018-Q3,Team 7,Mgr 3,0.83,I feel that we are definitely doing good in some areas and in other we defintely have room for improvement. I am confident that we are definitely going to see some progress in the coming months.,"progress, coming months, areas, room, improvement"
2018-Q3,Team 7,Mgr 3,0.81,I feel the recent changes in our team and organization will make things much better. I see our overall score as yelloe trending to green.,"team, organization, overall score, yelloe trending, recent changes, things"
2018-Q3,Team 5,Mgr 2,0.97,I feel the team health is getting better every time we do this. I was pleasantly surprised (in a good way) on many of the responses. I am very grateful to be on this team.,"team health, time, good way, responses"
2018-Q4,Team 1,Mgr 1,0.88,"I feel the team is healthy. I think we have some things to improve on but I think we always will. Overall I belive the team trusts eachother, they have fun and enjoy working with each other.","overall i belive, team trusts eachother, fun, things"
2019-Q2,Team 2,Mgr 1,0.82,I feel the team is in a great place from a health standpoint. I enjoy working with all the members of the team.,"team, great place, health standpoint, members"
2018-Q3,Team 9,Mgr 3,0.76,"I feel the team works great together, but our processes and external support could use some improvement.","external support, processes, improvement, team"
2019-Q1,Team 9,Mgr 3,0.92,I feel this is a very healthy team.  We work together very well and receive lots of support from outside teams.  We are actively managing a difficult rollout very well.,"support, outside teams, healthy team, difficult rollout"
2018-Q3,Team 5,Mgr 2,0.24,I feel this team is healthy and has no serious issues that would be detrimental to our overall goals.,"serious issues, overall goals, team"
2018-Q4,Team 5,Mgr 2,0.16,"I feel this team is in a good place, there are challenges that we face, that we need to overcome.  I feel farily confident, about the direction.  my biggest concern coming out of this was our mission is unclear, which needs immediate attention.","good place, immediate attention, direction, team, challenges, mission, biggest concern"
2019-Q2,Team 5,Mgr 2,0.86,I feel very good about the open discussion we had in a couple of challenging areas. I am surprised after having done this exercise with the same team many times to get into new areas and raise things to discuss.,"new areas, couple of challenging areas, times, open discussion, team, exercise, things"
2018-Q4,Team 5,Mgr 2,0.86,"I feel very good in general.  The team seems happy and works well together.  We have identified some areas for improvement around support from other teams and our process around agile, and how much we (developers) interact with our customers to devis work/solutions.  ","customers, teams, support, improvement, process, devis work, solutions, areas, developers"
2019-Q2,Team 7,Mgr 3,0.78,I feel very positive about where we are in our development and what is ahead of us.,development
2018-Q3,Team 3,Mgr 1,0.99,I feel very positive and optimistic. Teamwork is awesome.,teamwork
2018-Q4,Team 7,Mgr 3,0.82,I feel we are a high performance team. We have fun while getting things done and bring the company value.,"things, high performance team, company value, fun"
2018-Q4,Team 9,Mgr 3,0.95,I feel we are doing great as a team. We always have good support from our leadership on whatever we are doing. Its overall good.,"good support, leadership, team"
2018-Q3,Team 7,Mgr 3,0.82,I feel we are doing improvements in doing more strategic works. We are doing good asa team for team work.,"team work, good asa team, improvements, strategic works"
2018-Q4,Team 9,Mgr 3,0.85,"I feel we are doing the right things, asking good questions, having more internal conversations, looking for ways to improve, fighting deadlines. We stil have a ways to march before going green in all the dimensions.","ways, good questions, internal conversations, right things, dimensions, deadlines, stil"
2019-Q1,Team 1,Mgr 1,0.86,I fell pretty good about the health of our team. My main concerns re a lack of vision into what our application's true purpose is and the future direction of our team.,"team, lack of vision, application's true purpose, future direction, main concerns, health"
2019-Q1,Team 8,Mgr 3,0.83,I have had the bester experience team.  Working together with team and overall encouragement is the best part.  Agile process involvement needs to be improved.  I would like to suggest to rethink on cloud FPR and how to take it up with oracle its roadmap.,"bester experience team, overall encouragement, agile process involvement, cloud fpr, oracle, roadmap"
2018-Q3,Team 8,Mgr 3,0.94,I see a ray of hope. Excited about the improvements we'll see by the next team health session.,"team health session, improvements, ray of hope"
2018-Q4,Team 4,Mgr 1,0.24,"I thik we have much room for improvement, but we have the right prople and attitude to improve. Things are far from perfect and need to continue to focus on improvement.","improvement, right prople, attitude, thik, room, things"
2019-Q2,Team 2,Mgr 1,0.97,I think Acme Corp's InfoSec team works well. We are in a good place.,"acme corp's infosec team, good place"
2019-Q2,Team 7,Mgr 3,0.84,I think my teams health is good. We face a lot of challenges getting work complete because of competing priorities,"lot of challenges, competing priorities, teams health"
2018-Q4,Team 6,Mgr 2,0.9,I think our team health is great! Many of our teams concerns/discussions were around cross-team collaboration which will be mitigated by SAFe and enterprise planning/more Salesforce consultation with our team (instead of other teams guessing).,"team health, cross-team collaboration, teams concerns, discussions, salesforce consultation, enterprise planning"
2019-Q1,Team 3,Mgr 1,0.91,"I think our team is strong, willing and smart. Constantly evolving and trying to get better. Collaborative and fun and kind.","team, kind"
2018-Q4,Team 8,Mgr 3,0.91,"I think overall great. It truly is a high performing team. There is always room for improvement, but the team is always willing to experiment to get better.","high performing team, room, improvement"
2019-Q2,Team 1,Mgr 1,0.1,I think the InfoSec team is more united than the previous six months. While without challenges and disagreements the team continues to push forward.,"infosec team, months, challenges, disagreements"
2019-Q2,Team 5,Mgr 2,0.23,I think this team has generally good health. I am glad we had this session to identify areas for improvement.,"session, team, good health, areas, improvement"
2018-Q4,Team 5,Mgr 2,0.92,I think we are doing great as a team.  We have lots of scope for improving and moving into that direction.,"team, scope, direction"
2019-Q2,Team 5,Mgr 2,0.97,I think we are healthy,""
2019-Q2,Team 8,Mgr 3,0.85,I think we are making progress and growing more toward green. I know we still have areas of growth and am looking forwards now to improve those areas as the team grows stronger and healthier.,"areas of growth, team, progress"
2018-Q4,Team 4,Mgr 1,0.95,I think we seem better than I thought we were. It is good to take this time to talk through it all. It is a good break in our normal schedule.,"good break, normal schedule, time"
2018-Q3,Team 9,Mgr 3,0.99,"I think, as a team, we are doing very well. We enjoy working with each other.  We have a clear mission, are proud of what we build and control how to build.  We are a healthy team.","healthy team, clear mission, control"
2019-Q2,Team 3,Mgr 1,0.84,I was not surprised by any of the results.  We trust each other and have great teamwork.  We back each other up and support one another.,"great teamwork, results"
2019-Q2,Team 4,Mgr 1,0.96,I would like to see better teamwork scores.  Incorporating the AS guys better would be great.,"better teamwork scores, guys"
2018-Q3,Team 6,Mgr 2,0.98,"I would say our team health is great. We have great team members, we share the knowledge, suport, have fun. Thanks to P2P.","great team members, team health, knowledge, suport, fun, thanks"
2018-Q3,Team 1,Mgr 1,0.21,"I'm overall happy about the team for analytics.  However, considering quantity of work, being midst of the ProjectX Project and tight (some what unreasonable) deadlines it hard to develop complete KB about the entire team.  I think only way to communicate more so we are all in same level of happiness.","entire team, midst, deadlines, projectx project, quantity of work, analytics, level of happiness, way"
2019-Q1,Team 5,Mgr 2,0.97,I'm very proud to be part of this team and we work well as a TEAM!,team
2018-Q4,Team 7,Mgr 3,0.78,"In general, team health is in good shape especially when we narrow it down to small team or within L&M team. There are certain things need to be improved from ProjectX and external communication/support perspective.","team health, small team, projectx, external communication, support perspective, good shape, certain things"
2019-Q2,Team 9,Mgr 3,0.88,"Integration Solution team is going in good direction. Every member in team is proud of what they are doing. There is a lot of scope for learning and professional development. The common concern I observe and I have is that the team is short-handed. Due to time constraints, we may not have good metrics. But we work hard and happy with job responsibilities.","integration solution team, good direction, good metrics, learning, lot of scope, professional development, job responsibilities, member, time constraints, common concern"
2018-Q4,Team 4,Mgr 1,0.94,It is great to work on this team. We would like to pursue our web application develpment mission. The organization needs to focus more on coordination. The team is happy and productive. We hope ProjectX commitments will drop off so we can develop new functions for the business. Communication with in the team is great. Our support of existing application blocks us from advacning new business goals.,"team, advacning new business goals, new functions, support of existing application, web application develpment mission, communication, organization, coordination, projectx commitments"
2019-Q2,Team 9,Mgr 3,0.89,It is great to work with this team.,team
2018-Q4,Team 4,Mgr 1,0.95,It seems pretty good.,""
2018-Q4,Team 2,Mgr 1,0.89,It takes a lot of work and collaboration to be this awesome.,"collaboration, lot of work"
2018-Q3,Team 4,Mgr 1,0.98,"It's a great team to work with. A group of really talented, knowledgeable, and helpful people. Also a really focused and approachable team lead.","great team, approachable team lead, helpful people, group"
2018-Q3,Team 2,Mgr 1,0.94,"It's really good, always fun to work together. We always get great support and help whenever it is required. We always have endless learning opportunities of learning interesting stuff.","endless learning opportunities of learning interesting stuff, great support"
2018-Q4,Team 5,Mgr 2,0.07,"Lack of high level requirements, great teamwork, our team chemisty is hard to match, work is fun, ProjectX, missing alignment on mission, improve learning, remain concious of cycle time.","great teamwork, learning, missing alignment, mission, projectx, lack of high level requirements, team chemisty, concious of cycle time"
2018-Q3,Team 5,Mgr 2,0.16,Level of stress is high. Team sees lack of business feedback which is directly impacting team health. Less resources and more work.,"team health, lack of business feedback, level of stress, resources, work"
2019-Q2,Team 8,Mgr 3,0.98,"Love It. Great People, Great Opportunities, Great things ahead.","great people, great opportunities, great things, love"
2019-Q1,Team 7,Mgr 3,0.5,Many of our yellow areas have already been discussed in retros and have action items to improve,"retros, action items, yellow areas"
2019-Q1,Team 8,Mgr 3,0.84,Most of the categories we where in green which makes me feel the team is doing the right job. There are some areas of imporivement. The team understands that. I hope we will get better. Once we start ProjectX R2 these might change.,"team, green, right job, projectx r2, areas of imporivement, categories"
2018-Q3,Team 8,Mgr 3,0.5,Most of the team health dimesnions are yellow because of ProjectX and dependencies on the extended teams. This would probably turn green after go live.,"projectx, dependencies, team health dimesnions, extended teams"
2018-Q4,Team 8,Mgr 3,0.97,My team rocks! I think we are on the right path and things are well set for us and we are regularly making improvements.,"things, right path, team rocks, improvements"
2019-Q1,Team 2,Mgr 1,0.78,Need some improvements.  It's doing good in many dimensions.,"dimensions, improvements"
2019-Q1,Team 9,Mgr 3,0.5,OMP team is where team work works!  Motivate to address business solutions.,"omp team, team work, business solutions"
2019-Q2,Team 4,Mgr 1,0.24,On the upward trend.  Took a dip.  Moral is low.  Lots of action ideas generated.  Some team members are not comfortable sharing.,"team members, comfortable sharing, upward trend, moral, action ideas, dip"
2018-Q3,Team 7,Mgr 3,0.23,Optimistic about teams willingness to improve. Uncertain about how ProjectX affects our future. Pessimistic about our environment and relationship with the business.,"environment, relationship, projectx, future, teams willingness, business"
2018-Q3,Team 3,Mgr 1,0.95,Our agile processes need to be improved to help drive understanding of what the team is capable of.,"understanding, team, agile processes"
2018-Q3,Team 3,Mgr 1,0.16,Our health continues to trend up.  I feel like our speed is too slow because of our model and focus on ProjectX.,"model, speed, projectx, health"
2019-Q1,Team 4,Mgr 1,0.5,"our team as always is strong. Our issues are directly affected by outside influences - stakeholders, IT in general, leadership, other teams, and time. This team is the core piece of what I value at Acme Corp.","leadership, outside influences - stakeholders, teams, core piece, issues, time, acme"
2019-Q2,Team 3,Mgr 1,0.13,Our team has a lot of internal trust with really strong collaboration.  Many tiems we can be slow to release due to dependencies of other teams. ,"lot of internal trust, strong collaboration, dependencies, tiems, teams"
2018-Q3,Team 4,Mgr 1,0.95,"Our team health is a good indicator of how our team functions and approaches our day to day tasks. We work together well as a team and try to incorporate the agile principles in our work. We have some scope of improvement in a few of the processes we follow to ensure more efficiency. We also have cross team dependencies which impact our productivity, though it has gotten better. Overall, I think it’s a great team and we are on the right path to success.","team functions, team health, great team, cross team dependencies, work, day tasks, good indicator, productivity, right path, agile principles, processes, success, scope of improvement, efficiency"
2018-Q3,Team 2,Mgr 1,0.94,Our team health is excellent with a lot of opportunities to collaborate and support. There is always learning and fun involved in what we do on a day to day basis.,"day basis, lot of opportunities, team health, support, fun"
2019-Q1,Team 4,Mgr 1,0.98,"our team health is good - we are open, honest and trusting. We learn and grow together and give amazing constructive feedback. We put out a substantial amount of work that our stakeholders enjoy.","team health, amazing constructive feedback, work, stakeholders"
2018-Q4,Team 8,Mgr 3,0.94,"Our team health is pretty good, well coordinated along with good team work and work spirit.","good team work, work spirit, team health"
2018-Q4,Team 3,Mgr 1,0.94,Our team health is pretty good.  The health of our team seems to stay fairly stable.,team health
2019-Q1,Team 6,Mgr 2,0.17,"Our team health is very good, it seems the health of the organization is bad","team health, organization"
2018-Q4,Team 3,Mgr 1,0.78,"Our team is close knit and works well together.  Due to ProjectX, we are struggling with setting asie time for learning, innovation and fully understanding our mission.  We are good on development speed, but need to fin a way to get ahead on grooming speed.  We need to have more fun!","development speed, grooming speed, innovation, setting asie time, learning, team, close knit, way, projectx, mission"
2019-Q2,Team 5,Mgr 2,0.93,Our team's health is very good. We are open to discussing difficult topics are willing to work through them.,"difficult topics, team's health"
2018-Q3,Team 6,Mgr 2,0.99,"Over all looks good, however processes can be improved to make more visibility and realistic.","processes, visibility"
2018-Q4,Team 6,Mgr 2,0.96,Over it is great. Best team I've worked on! We still look for areas to improve and are willing to try new changes and keep working.,"new changes, best team, areas"
2018-Q3,Team 2,Mgr 1,0.96,"Over, team health is very good. Team is very supportive, work structure breakdown is done in a good way so that the team can work on it.","team health, good way, work structure breakdown"
2019-Q1,Team 4,Mgr 1,0.94,overall good health. We have a strong PO that helps keep the focus on stakeholder priorities and setting the right expectations We've had some turnover which is challenging but our team is strong and I'm really glad to be a part of it.,"strong po, right expectations, stakeholder priorities, focus, turnover, team, good health"
2018-Q4,Team 2,Mgr 1,0.19,"Overall good.  Dedication and skill help us deliver product on time.  Problems are lack of support from other teams, and large team size can hamper discussion, efficienty and teamwork.","discussion, teams, large team size, efficienty, lack of support, skill, product, dedication, time, problems"
2019-Q2,Team 9,Mgr 3,0.77,"Overall health is good and needs some improvements. Things which can help - Better Product knowledge on ODI, GUC, SOACS, OCI Cloud ; Shorter Meetings/Less Meetings; More planned work (I know its difficult always); SOACS product flexibility with migrations","soacs product flexibility, shorter meetings, better product knowledge, guc, odi, oci cloud, planned work, migrations, overall health, improvements"
